InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_HOME_0001,EST_HOME_0002,open,2026-01-09T00:00:00Z,,2873.06
INV_HOME_0002,EST_HOME_0003,open,2026-01-01T00:00:00Z,,2732.78
INV_HOME_0003,EST_HOME_0004,open,2025-12-22T00:00:00Z,,955.85
INV_HOME_0004,EST_HOME_0005,overdue,2026-02-09T00:00:00Z,,430.15
INV_HOME_0005,EST_HOME_0006,open,2026-01-09T00:00:00Z,,614.46
INV_HOME_0006,EST_HOME_0007,paid,2026-01-28T00:00:00Z,2026-02-02T00:00:00Z,3055.97
INV_HOME_0007,EST_HOME_0008,paid,2025-12-24T00:00:00Z,2026-01-21T00:00:00Z,447.52
INV_HOME_0008,EST_HOME_0009,open,2026-01-17T00:00:00Z,,2041.34
INV_HOME_0009,EST_HOME_0011,paid,2026-01-02T00:00:00Z,2026-01-27T00:00:00Z,908.78
INV_HOME_0010,EST_HOME_0012,overdue,2025-12-23T00:00:00Z,,2646.52
INV_HOME_0011,EST_HOME_0014,paid,2025-12-10T00:00:00Z,2025-12-29T00:00:00Z,2627.60
INV_HOME_0012,EST_HOME_0015,paid,2025-12-16T00:00:00Z,2025-12-24T00:00:00Z,1900.56
INV_HOME_0013,EST_HOME_0017,open,2026-01-12T00:00:00Z,,2603.91
INV_HOME_0014,EST_HOME_0018,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,2649.43
INV_HOME_0015,EST_HOME_0019,paid,2025-12-13T00:00:00Z,2025-12-23T00:00:00Z,1981.57
INV_HOME_0016,EST_HOME_0022,paid,2025-11-26T00:00:00Z,2025-12-17T00:00:00Z,1034.66
INV_HOME_0017,EST_HOME_0023,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,415.45
INV_HOME_0018,EST_HOME_0024,paid,2025-12-09T00:00:00Z,2025-12-23T00:00:00Z,1796.50
INV_HOME_0019,EST_HOME_0025,overdue,2026-01-02T00:00:00Z,,1067.84
INV_HOME_0020,EST_HOME_0027,paid,2025-12-10T00:00:00Z,2025-12-21T00:00:00Z,1192.38
INV_HOME_0021,EST_HOME_0028,open,2026-01-10T00:00:00Z,,872.85
INV_HOME_0022,EST_HOME_0029,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,1017.59
INV_HOME_0023,EST_HOME_0031,paid,2026-01-29T00:00:00Z,2026-02-09T00:00:00Z,2381.69
INV_HOME_0024,EST_HOME_0032,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,957.19
INV_HOME_0025,EST_HOME_0033,paid,2025-12-25T00:00:00Z,2026-01-08T00:00:00Z,2402.64
INV_HOME_0026,EST_HOME_0038,open,2025-12-29T00:00:00Z,,2324.73
INV_HOME_0027,EST_HOME_0039,open,2025-12-24T00:00:00Z,,1338.33
INV_HOME_0028,EST_HOME_0042,overdue,2025-12-29T00:00:00Z,,1074.17
